Model,Exp,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84
ACCESS-CM2,ssp126,-3.247246074184373,0.684138507481978,3.24714312190775,0.6697560207080681,1.775004277727883,-1.962946634918906,-1.597638373055481,-0.764241436788024,0.3578077721843164,-0.2739926229507707,-0.5543815934384472,-0.4916341439183797,-0.42524843250136485,-0.8008261570163989,-1.2718841897663833,1.473583403917681,1.1732416329742563,1.5173752412766508,-0.2841240898523654,-0.07277162330555369,1.6327577397933606,-0.6305409592781189,0.46629316767025714,0.03868124736864999,-0.684420193204402,-0.4906533120971498,0.18657579464276283,-0.4304120662137916,-0.7277133902220209,-0.2371064116539757,-0.49805981373367114,0.4448431180708826,0.10433881312084435,-0.21648450178586778,-0.14084303579144258,0.41965554929407267,-0.33387934464125507,-0.16863416750090077,-0.07094979055016282,-0.009513405373410336,0.3407340627346703,-0.2235437570764782,-0.20705339748821594,0.10648223848890535,-0.06907698235231138,-0.09229454337049073,0.09689125359459243,-0.1245672227230325,0.16899892388926052,0.15642568339201202,0.08259056080211855,0.005185368994590945,-0.022642075012070485,0.21052275270150353,0.14084797303745114,0.31095266200498617,0.008234237381654286,0.2531030305426672,0.11067045396100683,0.3113339580006675,0.0793075410397754,0.13643523287976125,0.07628344229327755,-0.13890894911198792,0.027008002526560555,-0.019136640193344153,-0.1497731123316286,-0.07520798497489668,-0.029622332028268843,-0.009776077708262164,-0.001725097524054904,0.02694957681200947,-0.007196572076048577,-0.051214810847548115,-0.022152040528242743,0.0489313811846272,-0.015936946449153052,0.0016748942382533297,-0.006084143162210234,-0.017705291753483225,0.002231916082717734,-0.015801727581678072,0.0048680255616921145,-0.009034675630604493
ACCESS-CM2,ssp245,-0.6376612472459792,-1.9751217485075367,3.758118595973998,1.4010027634452689,1.871148755546293,0.21419499373361972,-0.8110738468810029,0.8687529050838242,-0.18885660852261538,0.29530635667332905,-1.0929381730482726,0.40422764970491787,-1.5844605154161218,-1.3073636513072364,1.1984270664262715,0.49174649854348546,0.5770991842922356,-0.3178964014963007,-0.390789811042831,0.2583550289640419,-0.6725050424334373,-0.17336047467306112,0.16103494464633183,0.19091308080566108,0.06933093608407678,-0.20453780364770252,0.999811288425953,-0.45713932577617516,-0.3886911515332067,-0.09407274050859432,-0.5379361895228014,-0.5418877902945419,0.1620461304919887,-0.2561007524004158,-1.0499526543392876,0.0009113500961785661,0.3142974254235352,0.6202951533388696,-0.2317076137576644,-0.04169419370636986,0.18812385619903796,-0.06946299953064267,-0.03248010994365843,0.11772937394646105,-0.2383800321989225,0.32148646042972,0.19194121873209125,-0.2554368333095807,0.17735024546246683,-0.0660149374106528,-0.32171949818690254,-0.06257395535467888,-0.14726839181288065,0.26208953444726013,-0.0469784653610358,-0.18564335019550865,0.03350127689968783,0.05118270233486206,-0.13992649420420958,-0.011023766163624448,-0.11374403810322353,-0.05946836771556057,0.09507431907727903,0.18874395950516387,-0.09666822298308286,-0.04622847855754932,0.03108487597894536,-0.07482595402713876,0.03464727156450651,0.02706731904581874,-0.007544243808846984,0.06923625234422,-0.03972942555032647,0.029777632068131433,-0.012151060439739993,-0.0805630749809622,-0.00891940448722108,0.061549219626075326,-0.02321169081314921,-0.028576112587115815,-0.005939231076321911,0.011885882523159199,-0.009420834011517314,-0.003317370574072952
ACCESS-CM2,ssp370,4.949068847384129,-0.5421889586569711,3.143568913038962,1.5097535510025237,2.0126163399379307,-2.3437743596658525,-2.2719312561055554,0.0551861537646632,0.5313209364137179,0.43972744110249934,-2.6978516695631893,-0.5003782046596673,-0.49056272997354183,-1.8359882312143028,1.5739719626402027,-1.5903185972477023,1.1018977222102002,1.4080045588841301,-0.6819100095494677,1.066915802769821,0.31615842292109664,0.06786230471535415,0.04973832144832398,0.1918884963459754,-0.08444171327934585,0.5824072224057176,-0.14717177211766097,-0.21521183817492393,-0.6465337353092604,-0.10143743599018346,0.04142719275052411,0.4959556365994697,-0.27047730040486384,-0.25771316542909206,-0.2881580839409457,-0.3499026531970961,-0.28237765652968333,-0.05776617937615817,0.08106512610517522,0.060803003325595004,-0.08562204334754606,-0.08231763162051206,-0.37547073466948744,-0.32766196059655134,-0.15188081952350044,-0.21107736126858073,-0.5796297014113602,0.07813456134458992,0.07908943872227346,-0.06669500461649974,0.01181383468264445,-0.0014779755346605136,-0.024315880349679516,-0.12815030446179007,-0.1945387790257179,-0.1948343261954054,0.03856495802117679,-0.14793292859697274,-0.07654300288619759,-0.06421409588382797,-0.0509116088967606,0.009673944658128273,-0.07169762110131758,-0.09846337376384107,-0.014867840959853216,-0.17685236148987726,-0.06347220171802458,-0.03524194258756018,0.07641008425261367,-0.015595756385270514,-0.013528770462761752,-0.014444139882748466,0.01999058903740198,0.0170268098437209,-0.0374901264658324,0.039784987019298564,0.05723539904459117,-0.023358226048362258,0.0015485945666260615,0.023867499224025413,0.0410312705984291,0.0077897275914967585,-0.004381372070488285,0.005435192297148758
ACCESS-CM2,ssp585,8.196520314669577,-1.147666314642281,6.005187005102229,1.4535250693213337,0.5815577989689561,-1.6138719317890644,-0.6539926534789897,0.7566352471113429,-0.013450039981359957,0.3799655255065004,-2.671228767882615,0.42306983466303744,-0.21333594852957385,-2.4836706720549677,0.024236786222253247,0.08113018875216742,1.8002374257011293,1.2827281288689627,1.0125041068004457,0.140289060562916,0.19087505103650787,0.24023427093893487,-0.7087649995254266,-0.5803222101344128,0.837360815976383,-0.07753758506370771,0.12102237846915198,-0.3992653826048803,-0.02389084477521301,0.27848053707019876,0.36961291884307884,-0.31665810618328644,-0.14122075641710932,-0.061340501715078107,0.17516629359140765,0.47534676872030956,1.0603226870591664,0.3351589005732158,0.11862481367509929,0.2370871167406301,-0.1984133254583634,0.1560473361081221,-0.25752775934702954,-0.06703015482868226,0.26034748451388057,0.09774091809836351,-0.22935719897440646,0.1877444723449808,0.07153092759364484,-0.10701751571074487,0.19103226514976507,-0.22000022970678315,0.006974359799001087,0.14303049691090813,-0.09858473820742877,0.058234671007979584,0.17295903347089078,-0.06925256919797494,-0.05335494320615487,-0.07105629933343224,0.05300583401681216,0.09171701312074472,-0.04585087656679339,0.09273641414617478,0.09345707712489386,0.18602524687629748,0.09291748156598362,0.13591801920090302,-0.03136571072231448,-0.02385236904138907,0.01810068419416225,-0.04986001641811151,0.02145246741501309,0.019020566193724418,0.04861891464490652,-0.006348058171298722,-0.004647734255459832,-0.019416552067790183,0.016498611964713816,0.0032070169483711304,-0.030894829454169558,0.001577131829011115,-0.0027923978418395467,-0.007968285880709282
ACCESS-ESM1-5,ssp126,-4.427284604278754,2.52406512497612,3.3785041679819834,-2.3008118752841313,0.09453901779501298,0.062190760765421,-1.5974623489878332,-0.5889012066968785,0.4261714188824933,0.7208328457880316,-0.06853231997607531,-0.6523438844616789,1.8978382952768933,0.5469981334372768,0.49369539697257825,0.6182364945932621,0.9727247973918152,-0.1237613907326224,-0.1618743173115521,0.20584085291933393,-2.1784487794057212,0.774311888075492,1.034088916316876,-0.030134019160060994,-0.8460664619838003,0.2068857168276975,-0.35011677957605103,-0.32722632449213246,-0.9200533822734863,0.2973467360051865,0.02037232665565702,0.0903456935421325,0.5747219454538128,-0.31563862771227474,-0.12254716656385639,0.5224514899217179,-0.19239346877400637,0.454120357511052,0.11314479455850376,-0.47531877986234683,-0.04969035576925213,0.08081270835464828,0.19415316470837296,-0.11186028980081582,0.02136843797440171,-0.05520810123293969,-0.11057670750851896,-0.04533277655860423,-0.2624158436166266,0.021858166596436756,-0.10884523381955896,0.024848699226133503,0.07278716475247779,-0.0070241723850405806,-0.07379300994014276,0.17536082765352587,-0.19648660071476065,0.15023010530162245,0.14151997453424792,-0.0011430452630568585,0.09728920031771923,0.00720236724948973,0.053970539804894496,0.04609754493483619,0.11336113769664516,-0.13650126700679893,-0.011921670100011845,-0.025658203627579063,-0.009056365409363065,0.0006546852899167357,0.02220672927927264,0.012307831088425005,-0.053641318091577336,-0.07245195644215666,-0.007275066419654153,-0.0391668972678402,0.0058863542997981385,-0.01261832073736541,-0.00038132246704144764,0.029195770593311896,-0.03329506985153403,-0.00785245142243072,0.008743965724551175,0.008737291963760553
ACCESS-ESM1-5,ssp245,-2.0188281503822947,2.3199776483282437,4.3422251841498465,-0.48148192058695866,-1.2541953322760566,0.5176737306802566,-3.153353528648984,-0.6460624134959587,1.7069057821541294,-0.25694330990681397,0.41530326882758717,0.649578755787111,2.559028069562876,1.2550869279247991,-0.16477218587931394,0.2980782309057825,0.644867482144595,0.24053387113986877,-0.2845594602157432,-0.30726878627997,-1.3622289101772231,0.014998520915693012,0.5598896999976146,0.17505222737924064,-0.15776587079672924,-0.5577670360825256,-0.19615567899019168,0.2023317426280305,0.822252247011822,-0.33954756111046175,0.6931668015236645,0.05342074945901618,0.09449460529234976,0.36852593520843396,-0.09652563526456205,0.6169164648534744,0.9709574077679576,-0.1078763140043779,0.2398375246465124,0.3873067703446858,-0.18333425451991422,-0.39413321669046086,-0.010466875301907746,-0.14187878888214828,0.3449722291118441,-0.20731122132294336,0.3506657119518893,-0.061117589275810444,0.10344007933297998,0.07777588660153689,-0.2024156387064731,0.0005209581315172984,0.022628468040695366,-0.045421218101309224,-0.17794546964074429,-0.04249196994686266,0.20513459188092587,0.03589545932101979,0.00642409331040346,0.03177732403474338,-0.07731567178680553,-0.11469378325201493,-0.02005104692992286,-0.1255817752537035,-0.07341156847978807,-0.04121456753808794,0.07014973203240188,-0.05604015925827237,0.0862284244630761,0.030561927701613395,-0.1110042206926989,-0.010384095466145698,0.06422841697831155,-0.0237631742357554,-0.005896771837588487,-0.024847323410313513,0.0034052556265080037,0.02492708894667441,-0.0199454011552756,0.012517561354869939,0.023439805045262305,-0.01112725259523948,-0.016210594568861907,0.005058379093582035
ACCESS-ESM1-5,ssp370,1.6797973797544044,1.7171751074091708,4.01848133024153,-2.817929172335788,-2.403768256342011,0.12722875415332965,-1.5979229096160144,0.4080170633241255,0.35133533486423096,0.19002379357512833,-1.1098135209045472,1.0698641856810722,2.0096621383208024,1.1997377046034596,0.9904951493707229,-0.7858038724494761,-1.521243628731931,0.3679047992410691,-0.47942841288127963,-0.2464905760527897,-0.20848765311646403,0.4517063203676664,-0.31494690370755196,0.34062666247284434,-0.2929032874140843,0.11064471319748856,-1.0150499142101688,-0.4638548149059046,0.11302277674257345,0.17632502860427995,-0.5723933082358138,-0.4530193400083345,-0.293970718494541,-0.3323546459952858,-0.15429612374324334,-0.22593632422218687,-0.01912147253304508,0.14581765072971484,-0.3188545053712208,-0.418948189338032,0.38039152640888374,0.0900578749984363,-0.036451970764568506,0.37823597459903435,0.14156440412736904,-0.5007483253632437,0.02351752142310591,0.21626212960406752,-0.10818826859101015,-0.14676385066881045,0.11540797144228258,0.09253422422334497,0.2454854330787577,0.10794971435685129,0.1097212723762073,-0.07630756972984738,-0.012948073964238749,0.16527859541320689,-0.1905271948679076,0.028153091187173355,0.006100756054290097,0.18472699389953515,-0.014765237550924673,0.12470242314393881,-0.03462581578937632,-0.05799114626051599,-0.03301295638648953,0.016797979415520876,-0.08506815352987024,-0.04564936286370541,0.0004647757432529766,-0.022258185589835704,0.11940514641599168,0.08782522052372169,0.045651486670748996,-0.02046596108818596,0.01556659848739416,0.015738129353965288,0.025885143348038122,-0.00014282770924632052,0.02253605519857877,-0.006680674290945319,0.024925251399509758,0.0012405872884851234
ACCESS-ESM1-5,ssp585,5.060728167210153,4.084114333936081,4.483281635726528,-4.724401884718615,-3.0079007602451684,1.3740704043057534,-4.012460754422612,-1.254879989614086,0.6995391354633381,0.04255582698203102,-0.8948927732597837,-0.9702881061329942,0.5019173934063169,0.8939808418384173,0.2500044466678019,0.21523613978489434,-1.3412487502502835,0.7510409502509823,-0.15619092627200495,0.27316952956491625,-0.3444517085025354,-0.5638959561443774,0.5706083214383337,-0.013379508118521555,0.10862782165322071,-0.6563544535443692,-0.8922623105163152,-0.7000733978191728,0.4151137022645191,-0.6774320906632125,0.2714994038781889,-0.7955059672260053,0.09122515200672866,-0.3881882301285457,-0.025085812171431708,-0.8359895251638854,-0.1847250790767994,-0.560867903515544,-0.0049237825091926,-0.17523103323893258,0.21315300077892535,0.09913581665122936,0.07892706380592666,0.13920232442700825,-0.34433464920582924,0.031741339810933515,0.2234144221503991,-0.4331306691560547,0.06589331616594134,0.05750859512628169,0.035144116916275045,-0.06219470868378563,-0.21252801357870016,0.04661545701578931,-0.1468570652551074,0.10263439221820397,-0.019832554624542344,-0.08337927328138683,-0.013952806872639736,-0.026468902886839372,-0.014469101709561035,-0.0002042422724374053,-0.05614450122194563,0.08005798609996392,-0.07441845600137603,0.16628457450052284,0.008954867613451663,0.07059173378075667,-0.00290762242965868,0.04089065138732628,0.09458729110124023,0.014244979383370672,-0.06501907957055875,-0.00467081122799148,-0.04626219470272951,0.056189529767121285,-0.0007733604428428676,-0.03919754799257309,-0.0019982422891384583,-0.019429178823204753,-0.010740511120384608,0.007603444143710445,-0.011748957866374555,-0.0075493442789469215
CMCC-ESM2,ssp126,-2.6552014532421078,2.4062867946442763,0.5806001052379473,0.4275085758501033,-0.8379360878850128,-0.8399407914421109,0.043024494980899795,0.2057584023918424,2.5785926809915836,1.866849790576869,0.2233953888824437,2.388256226495129,0.04988642818469659,1.600420535799345,0.3342080459847232,-0.014852235506849444,0.3373788324045518,0.14933388853158605,0.22979394753118623,-0.9251342880862884,0.6324489610243063,0.31017587859520207,0.6603334580588744,-0.22570913454242691,1.4743398747072451,0.17545677039822674,0.23419241992704387,-0.5032330910073347,0.7329395340496865,-0.11607076706578595,-0.21785291603536452,0.21374446145818482,-0.13415410781454376,0.02565820677480566,0.622253190304008,0.6696699876938841,-0.21728157957677235,-0.20970136843099058,0.39698432970614106,-0.006898093997408392,-0.0859026254759637,-0.19873195650006584,-0.13617252688496362,-0.18393042323730868,0.37809990021011697,-0.05083723620364477,0.28872543726784805,0.03874160420555386,-0.08566041269966523,0.030256724763707003,0.03019913255764811,-0.10741122052811095,-0.17039116232120885,0.04088561182722989,0.02728579435879291,-0.253527347217001,-0.17618840869588975,-0.20679913228194943,0.006922509828849912,0.05327585559865159,-0.06843231070581426,0.12741867182229288,-0.0652899546197006,-0.0439138263872685,0.045293020262556806,-0.023907231143672547,-0.06844755924556545,-0.045804311579957235,0.0044980388129652535,0.005932062845438757,0.03204806147414296,0.08059416311678236,-0.05114272674616365,0.015891672993601304,0.004437501321822766,0.025074537812541597,0.02044195584222023,0.05476139876205755,-0.024132303128503833,-0.01625317635089003,-0.003504245627822329,0.03961873465392222,0.010540560325165895,-0.011480717635024087
CMCC-ESM2,ssp245,-0.2569293352172815,0.7243475249936144,-0.7876757675617524,-1.3911956848915328,-0.37812282637101846,0.8979024601702016,2.1401337166941024,-0.16788464905398495,2.309077978508252,0.413802446085513,-1.6246067948180805,2.6614781815168547,-0.7192367251178167,1.1019746852888697,-0.28346477977666185,0.47645137406831045,0.36131112200773907,0.06464052927851502,-0.9221921649964118,0.6125606935083302,0.21190737076009922,0.319891492272406,0.5519253769734288,-0.6150335044960015,-0.10058800192765388,0.3908874074623039,0.5686608121685729,0.18650354212782377,-0.43101672260316176,0.2258892847181879,-0.3222427969992235,0.09092821367290409,0.5817088215468879,1.0253002256269745,0.07666175451171577,-0.6907315186842459,0.18960130945761428,-0.3634858584376956,0.024143429644947957,0.3018214085177599,0.22021654099565863,-0.15109405094974843,0.01773663216051043,0.3429332239123525,-0.14263675532668174,-0.23631712930610554,-0.1684226231835053,0.08394059250001147,0.1699580438713671,-0.20389869894953744,-0.11172274076105176,-0.12301545265196981,0.12219488912803077,0.12115939106767042,-0.22026009118375275,-0.03287939193382404,-0.10855421101435597,-0.007269272812263005,0.3142718651950663,0.13994432338513207,-0.005220438470431885,0.24041805086017357,0.0024564621125926496,-0.0687325096713867,-0.1880996642610792,0.0872273783655453,0.02970111190364465,0.10413591345791987,-0.07818549805482888,-0.06721936981656025,-0.01814984271522098,-0.02830273445888086,0.0019413840243496592,-0.06747240401642689,0.021494621292974286,-0.057462175889503475,0.01675181942200229,-0.009249550449256358,-0.026032477366131634,-0.007366197049144965,0.015537833119276477,-0.005642934698432332,-0.011484502026170488,0.005018260902777095
